"GB? 1=Yes, 0=No",Is it?,Slug,Title,Downloads,Last update,Required,Tested,Active,Keywords
0,block,wp-block-admin,WP Block Admin,16573,28/10/2012 15:24,2,3.3.2,900,"admin,wp-admin,admin interface,block admin"
0,block,space-manager,Space Manager,2201,10/12/2012 14:34,3,3.4.2,40,"widget,space,content block,space manager"
0,block,page-blocker-seeya,Pageblocker &quot;Seeya&quot;,448,21/12/2012 09:21,3,3.4.2,0,"page,password"
0,block,block-spam-by-math-reloaded,Block Spam By Math Reloaded,42395,02/01/2013 17:43,3.1 (maybe older),3.3.2,1000,"mu,spam,security,authentication,anti-spam"
0,block,hide-admin-bar-2013,Hide Admin Bar 2013,13123,13/01/2013 19:23,3.3,3.5.2,800,"block,admin bar,delete,remove,hide admin bar"
0,block,maven-member,Maven Member,19186,25/01/2013 21:01,3,3.4.2,100,"content,authentication,block,roles,community"
0,block,spam-blocker-s1,spam-blocker-s1,593,09/03/2013 01:25,3.3,3.5.2,10,"comments,spam"
0,block,user-security-tools,User Security Tools,2612,22/03/2013 03:37,3.3,3.5.2,60,"security,block,password,user,Brute Force"
0,block,wp-custom-cms-block,Wp Custom CMS Block,4011,29/03/2013 10:59,3.3,3.5.2,200,"custom field,static block,admin option,admin custom field,custom cms block"
0,block,defender-by-played,Defender,1228,03/04/2013 08:38,3.0.1,3.5.2,10,"spam,block,anti-spam,user-control"
0,block,uninterrupted-backup,Uninterrupted Backup,527,05/04/2013 23:35,3.5,3.5.2,0,"backup,error,blocked,access,disable,deactivate,backdoor,path,recovery,uninterrupted,fatal,provide"
0,block,password-protection,Password Protection,2262,16/04/2013 11:14,3.5.1,3.6 beta,20,"security,password protection,brute force blocking"
0,block,wp-denyhosts,WP-DenyHosts,2093,29/04/2013 23:48,3.5,3.6.1,100,"spam,login,block,BruteForce"
0,block,block-rss-reading,Block RSS Reading,767,07/06/2013 22:33,3,3.5.2,10,"feed,rss,ip block"
0,block,no-captcha-spam-block,No-captcha Spam Block,3051,05/09/2013 02:41,3.4,3.6.1,300,"comments,captcha,spam,block,filter"
0,block,ipblocklist,ipBlockList,1232,15/10/2013 21:50,3.4,3.6.1,10,"security,firewall,ip address,dsheild.org,ipblocklist.com"
0,block,smartfilter,SmartFilter Security,5011,18/10/2013 01:47,3.0.1,3.5.2,10,"admin,code,blocked,block,Blog Security"
0,block,block-editor,Block Editor by Businessbox.com.au,2947,22/10/2013 06:34,3.5.1,3.5.2,100,"block,editor,blocks,businessbox,region"
0,block,writers-block,Writer&#039;s Block,624,07/11/2013 19:21,3.0.1,3.6.1,10,"seo,keywords,content,content suggestions"
0,block,block-country,Block Country,4439,10/12/2013 22:05,3.2,3.6.1,200,"block country,block ip address,Unblock any IP Address"
0,block,humans-only,Humans Only,841,17/12/2013 05:30,3.3,3.7.31,0,"captcha,spam,verification,block,bots,verify,spammers,humans only"
0,block,ar-registration-secure-spam-blocker,ARS Reg Secure,746,19/12/2013 18:44,3.7,3.7.31,10,"secure,captcha,registration form,spam blocker"
0,block,content-block-templates,Content Block Templates,712,23/12/2013 06:29,3.0.1,3.7.31,10,"templates,content block"
0,block,wp-copy-data-protector,WP Copy Data Protector,3491,17/01/2014 09:48,,3.7.31,200,"protection,data protector,block right click,ie 9 block ctrl p,ie 10 block ctrl p"
0,block,block-management-online,Block Management Online,712,21/01/2014 00:00,3.6.1,3.6.1,10,"property management,Block Management Online"
0,block,wpkmkz-tweet-blockquotes,Wpkmkz Tweet Blockquotes,638,16/04/2014 07:46,3.4,3.9.29,10,"twitter,tweet,widget,bootstrap,blockquote"
0,block,block-default-login-attempts,Block Default Login Attempts,749,21/05/2014 03:55,3,3.9.29,30,"login,hack,protect,bot,hacker"
0,block,blockalyzer-stop-adblock-extension,BlockAlyzer - Stop Adblock extension,575,28/05/2014 12:23,,3.9.29,0,"adsense,advertising,adblock"
0,block,hear-no-evil,Hear No Evil,720,06/06/2014 03:22,3.7,3.9.29,90,comment comments commenting block
0,block,adblock-alerter,adBlock Alerter,2443,06/06/2014 21:25,3.0.1,3.9.29,10,"block,Pro,ad,adblock,adblock plus"
0,block,wp-fragment-cache,WP Fragment Cache,817,18/06/2014 20:00,3.7.0,3.9.29,10,"caching,cache,performance,output caching,cache block"
0,block,wp-social-blocks,Social Blocks,839,18/06/2014 22:07,3.5,3.9.29,10,"facebook,twitter,widget,social,blocks"
0,block,better-stop-adblock,Better Stop Adblock,21076,25/06/2014 12:04,3.0.1,3.9.29,60,"anti-adblock,detects users with adblock,money adsense,stop adblock,translation ready"
0,block,adbuddy-adblocker-detection,adBuddy+ (AdBlocker Detection) by NetfunkDesign,1612,18/07/2014 21:00,3.5,3.9.29,10,"adblocker,ad blocker,NetfunkDesign,Jmlevick,block ads"
0,block,flexible-modals,Flexible Modals,3374,24/07/2014 06:17,3.5,3.9.29,100,"popup,modal,block"
0,block,isw-blocks,iSoftware Blocks,3504,29/08/2014 10:21,3.5,4.0.28,300,"shortcode,admin,html,shortcodes,code"
0,block,local-info-powered-by-everyblock,Local Info Powered By EveryBlock,429,02/09/2014 23:31,3.6.1,3.6.1,10,"widgets,local,block,Chicago,info,everyblock,illinois,every,philadelphia,local info,philly,pennsylvania"
0,block,simple-site-lockdown,Simple Site Lockdown,8074,03/09/2014 19:36,2.0.0,4.0.28,200,"privacy,maintenance,block,blocking"
0,block,canon-aede,Canon AEDE,18849,10/09/2014 11:57,3.0.1,4.0.28,80,"block,bloqueo,canon,AEDE,CEDRO"
0,block,chartblocks,ChartBlocks,551,13/10/2014 13:32,2.9,4.0.28,10,"embed,oembed,charts,chart builder"
0,block,blocked-banners-stats,Blocked Banners Stats,437,20/10/2014 15:39,3.0.6,3.9.29,0,"ads,advertising,statistics,stats,ad block"
0,block,aa-block-country-with-redirect,AA Block country with redirect,863,17/11/2014 01:51,3.8,4.0.28,10,"redirect,extension,aaextention,aa extension,block country"
0,block,aa-block-country,AA Block country,961,17/11/2014 02:33,4,4.0.28,10,"block,extension,aaextention,aaextension,ip"
0,block,xmlrpc-attacks-blocker,xmlrpc attacks blocker,3182,27/11/2014 11:08,4,4.8.11,1000,"hack,attack,block,xmlrpc"
0,block,two-factor-authentication-with-missed-calls-spam-blocker,mOTP Spam Blocker,460,30/11/2014 10:29,3,4.3.21,0,"two factor authentication,spam control,mobile number verification,ip bloacklist,phone blocking"
0,block,deny-tor-auth,Deny TOR Auth,601,20/12/2014 16:41,3.0.1,4.1.0,20,"security,login,authentication,blocking,Tor"
0,block,scratchblocks-for-wp,scratchblocks for WP,434,23/12/2014 03:39,1.0.1,4.0.28,10,"shortcode,scratch"
0,block,ptpl-post-block,PTPL post block,519,25/12/2014 13:21,3.4,3.4.2,0,"google,facebook,social,block,content block,PTPL,post block,googe plus"
0,block,wasp-anti-spam,WASP - Anti Spam,630,25/12/2014 15:28,3.6,4.1.28,10,"comments,spam,block,activation"
0,block,easy-block-selector,Easy Block Selector,588,12/01/2015 14:06,3,3.5.2,0,"shortcodes,text,editor,tinyMCE,select,contents,short code"
0,block,advanced-widgets,Advanced Widgets,6246,13/01/2015 14:46,3.8.1,4.1.28,400,"widget,widgets,blocks,drupal,blocks drupal"
0,block,bye-ie,Bye IE,1626,24/01/2015 14:41,2.0.2,3.4.2,60,"block,stop,ie,internet explorer,bye"
0,block,google-adsense-adblock-tracker,Google Adsense Adblock Tracker,801,25/02/2015 17:14,3.0.1,4.1.28,20,"tracking,google analytics,adblock,adblock plus,google adsense"
0,block,block-spam-comments,Block Spam Comments,1292,05/03/2015 08:05,3.0.1,4.1.28,100,"spam comments,block spam,no spam,stop spam,block spam comments"
0,block,limit-wp-admin-access,Limit wp-admin access,864,14/03/2015 11:57,3.5,4.1.28,10,"security,login shortcode,Front end login,block wp-admin"
0,block,block-hide-adsense-ads-for-specific-countries,Hide Adsense Ads for specific countries,1197,19/03/2015 14:08,3.9,4.1.28,10,para o plugin
0,block,link-shield,Link Shield,3195,22/03/2015 21:15,3,4.1.28,300,"tasa Google,linkshield,link shield,block links,hide links"
0,block,wp-spam-fighter,WP Spam Fighter,13324,29/03/2015 10:15,3.5,4.1.28,3000,"antispam,block,anti-spam,anti-spam plugin,anti spam protection"
0,block,block-pinterest,Block Pinterest,1637,20/04/2015 19:13,3,4.2.25,80,"Pinterest,meta,block,remove"
0,block,pinterest-block,Pinterest Block,4413,21/04/2015 20:38,3.9.3,4.2.25,200,"social,Pinterest,block,protect,pinterest block"
0,block,code-blocks,Code Blocks,3297,24/04/2015 05:44,3.0.1,4.2.25,100,"post,pages,code,blocks"
0,block,adblock-invite,Adblock invite (Yes adblock),26505,27/04/2015 19:58,3,3.5.2,10,"widget,ads,blocked,adblock"
0,block,wp-block-semalt,WP Block Semalt,660,30/04/2015 22:42,3,4.2.25,100,"google analytics,bots,semalt,crawlers"
0,block,51blocks-json-schema,51Blocks JSON Schema Generator,4683,28/06/2015 17:45,3.0.1,3.4.2,800,"schema,JSON,markup,local,structured data"
0,block,jcwp-copy-paste-blocker,jcwp copy paste blocker,9938,28/06/2015 23:58,2.8,4.2.25,700,"content-protection,disable right click,block selection,disable content selection"
0,block,ipblock,IPBlock,1813,13/07/2015 06:49,3.5,4.2.25,100,"admin,administration,login,authentication,block ip"
0,block,wp-block-referrer-spam,WP Block Referrer Spam,3024,20/07/2015 20:56,3.2,4.2.25,600,"analytics,analytics spam,analytics block,block analytics,analytics blocker"
0,block,quoteability,Quoteability,761,04/08/2015 16:40,3.0.0,4.2.25,10,"quotes,blockquotes,drop quotes,dropquotes,shareable"
0,block,visibility-warning,Search Engine Visibility Warning,1908,31/08/2015 10:08,3.3.2,4.3.21,80,"seo,block,index,search engines,indexing"
0,block,blocky,Blocky! - Additional Content Blocks,2359,10/09/2015 07:34,4.2,4.3.21,100,"admin,cms,css,class,builder"
0,block,wp-blocked,WP Blocked Censorship Monitoring,291,31/10/2015 11:00,3,4.3.21,0,"block,censorship,filtering,monitoring,ooni,openrightsgroup,openinternet"
0,block,sorry-adblocker,Sorry AdBlocker,1406,01/11/2015 09:37,3.0.1,4.3.21,20,"ad,ad blocker,ad blocking,ad block,ad analysis"
0,block,ad-blocking-metrics,Ad Blocking Metrics,566,09/11/2015 13:29,3.0.1,4.3.21,0,"advertising,google analytics,ad blocker,ad blocking,ad blocking detection,ad blocking response,ad blocking metrics,sitecatalyst,piwik"
0,block,beon-blocking-comment,Beon Comment Protection,419,23/11/2015 14:44,3.0.1,4.4.20,0,"comment,spam"
0,block,wu-block-comments,WU - Block comments,3682,25/11/2015 20:05,3.1,4.4.20,100,"comments,spam,block"
0,block,anti-adblock-adspaces,Anti Adblock Adspaces,3243,27/11/2015 13:19,3.9,4.3.21,20,"advertising,adblock,anti-adblock,adspaces,anti adblock plugin"
0,block,notifier-and-ip-blocker,Notifier and IP Blocker,596,08/12/2015 22:04,3,4.4.20,20,"comment,alerts,customize,banned,blocked ip"
0,block,activist,Activist,394,21/12/2015 22:40,4,4.4.20,0,"caching,block,access,censorship"
0,block,please-adblock,please adblock,311,23/12/2015 19:44,4,4.4.20,0,"ads,privacy"
0,block,block-referers,Block Referers,639,23/12/2015 21:43,4.2,4.7.15,10,"analytics,anti-spam,analytics spam,anti referrer,anti referral"
0,block,logic-pro,Visitor Logic Lite,1311,24/12/2015 01:59,3.0.1,4.4.20,50,"widget logic,Visitor Logic,Sidebar per page,logic blocks,widgets per category"
0,block,wp-html-block,WP HTML Block,3847,24/12/2015 17:11,4,4.4.20,1000,"pages,block,insert,html block,html area"
0,block,mark-user-as-spammer,Mark User as Spammer,711,25/12/2015 12:03,4.3.1,4.3.21,20,"spam,ban,accounts,spammers,block users"
0,block,block-ads-to-bitcoin,Block Ads to Bitcoin,953,02/01/2016 01:52,4.4,4.4.20,10,"monetization,bitcoin,adblock,blocked ads"
0,block,ad-block-defender,Ad Block Defender,1180,26/01/2016 00:54,3.0.1,4.4.20,10,"block,ad,advertisement,adblock,defender"
0,block,ninja-forms-blocks,Ninja Forms Blocks,14579,27/01/2016 08:39,3.0.1,4.4.20,1000,"columns,layout,blocks,ninja forms,div"
0,block,unblock-cs-jss-for-googlebot,Unblock CSS &amp; JS for Googlebot,1676,05/02/2016 23:17,3.0.1,4.4.20,500,"seo,robots,robots.txt,googlebot"
0,block,rombus-shortcodes,Rombus Shortcodes,283,18/02/2016 17:58,3.2,4.4.20,0,"list,shortcodes,button,content,Slide,carousel,recent posts,popular posts,block,vimeo,youtube,tab,ad,warning,note,quote,tips,SlideShare,scribd,infobox,rombus,postloop,google presentation,Jitendra Kumar Sahoo"
0,block,bot-block-stop-spam-google-analytics-referrals,Bot Block - Stop Spam Referrals in Google Analytics,15538,24/02/2016 11:43,3.9,4.4.20,3000,"google,seo,google analytics,google analytics spam"
0,block,visitoraudit,Visitor Audit,749,15/03/2016 12:26,4.0.1,4.4.20,30,"traffic,security,block,visitor,audit"
0,block,better-blockquotes,Better Blockquotes,5215,25/03/2016 04:03,4.4,4.4.20,700,"tinyMCE,blockquotes"
0,block,block-admin-user-logins,Block user logins,908,03/04/2016 13:09,3,4.5.13,70,"email,wp_mail"
0,block,protect-ai-login,Protect Ai Login,429,14/04/2016 06:46,4,,10,"secure,captcha,recaptcha,nocaptcha,spam,security,login,attack,block,access,register,no captcha,brute,force,sign,brute force attack,axs"
0,block,wp-maltor,WP Maltor,1618,15/04/2016 16:50,3.3,4.5.13,100,"Tor,malicious,block traffic"
0,block,simplified-content,Simplified Content,401,19/04/2016 15:38,4.3.1,4.5.13,10,"content,internet explorer,ie 8,legacy browsers,browser block"
0,block,magento-wordpress-integration,Magento Wordpress Integration,33583,25/04/2016 18:32,3,4.4.20,1000,"integration,block,magento,sessions,static blocks"
0,block,ad-blocking-alert,Ad Blocking Alert,1675,26/04/2016 14:21,3.0.1,4.5.13,10,"block,Pro,ad,adblock,adblock plus"
0,block,buddypress-messages-spam-blocker,Buddypress Messages Spam Blocker,4904,26/04/2016 18:36,3,4.5.13,200,"buddypress,spam,messages"
0,block,seriously-simple-spam-blocker,Seriously Simple Spam Blocker,3314,11/05/2016 17:51,3,4.5.13,80,"spam,security,protection,block,simple"
0,block,anti-adblock-adbreach,Anti-AdBlock Script,5258,13/05/2016 21:11,4,4.5.13,40,"adblock,anti-adblock,adblock blocken,adblock umgehen"
0,block,easy-adsense-injection,Easy Adsense Injection Plugin,6293,25/05/2016 22:24,3,4.5.13,300,"wordpress plugin,ad blocker,google adsense,ads manager,Ads injection"
0,block,block-admin,Block Admin,1694,31/05/2016 19:42,2.8,4.2.25,20,"admin,wp-admin,Restrict access"
0,block,wangguard-limited-registration-domain-add-on,WangGuard Limited Registration Domain Add-On,1527,07/06/2016 16:54,3.8,4.5.13,50,"registration,wangguard,wgg,block domains,wangguardaddon"
0,block,wangguard-blacklisted-words-add-on,WangGuard Blacklisted Words Add-On,1334,07/06/2016 16:55,3.5,4.5.13,20,"registration,wangguard,wgg,wangguardaddon,block words"
0,block,disable-google-maps,Disable Google Maps,12336,17/06/2016 17:57,3,4.5.13,2000,"performance,Disable Google Maps,blocking of Google's servers,local development"
0,block,ip-blocker-wp,IP Blocker WP par JM Cr̩a,467,18/06/2016 12:06,4,4.5.13,20,"security,ip,access,ip blocker,blocker ip"
0,block,frame-buster,Frame Buster,3238,19/06/2016 23:50,3.0.1,4.5.13,500,"ad blocker,content-protection,frame blocker,frame protection,frame stopper"
0,block,tiny-simple-adblock-detector,Tiny Simple AdBlock Detector,384,14/07/2016 04:58,3.0.1,4.4.20,40,"ads,blocking,detector"
0,block,beautiful-pull-quotes,Beautiful Pull Quotes,1309,28/07/2016 07:53,3.0.1,4.5.13,100,"pullquote,pull-quotes,easy pull quotes,quote styles,block quotes"
0,block,restrict-page-by-role,Restrict Page By Role,2036,29/07/2016 11:19,3.9,4.5.13,100,"restricted access,private page,restricted page,block page by user group"
0,block,spamlord,SpamLord,2842,18/08/2016 20:19,3.0.1,4.6.16,300,"comments,filter,anti-spam,block spam,sarcasm"
0,block,adblock-detector,AdBlock Detector,1014,23/08/2016 16:33,4.2.0,4.5.13,30,"adblock,ad blocking"
0,block,dl-block-right-mouse-button,DL Block Right Mouse Button,716,28/08/2016 12:23,3.2,4.6.16,20,"block,dl"
0,block,optin-revolution,WordPress Popup - Optin Revolution,176941,01/09/2016 15:41,3.3,4.3.0,1000,"Optin,popup,popups,wordpress popup,unblockable"
0,block,hana-block,Hana Block,560,12/09/2016 20:07,4.5,4.6.16,20,content block
0,block,outbound-links-monetization,Outbound Links Monetization,556,21/09/2016 09:09,4,4.6.16,10,"shortener,adblock,short links,outbound links,urlshortener"
0,block,enable-google-maps,Enable Google Maps,1089,22/09/2016 05:40,3,4.6.16,100,"performance,blocking of Google's servers,local development,Enable Google Maps"
0,block,htaccess-ip-block,&lt;.htaccess&gt; IP block,778,16/10/2016 17:49,,,20,"htaccess,ip block,IP security,htaccesss IP,htaccess IP block"
0,block,tyxo-monitoring,Tyxo Monitoring,425,21/10/2016 18:51,3.7,4.6.16,10,"Counter,adblocker,monitoring,Tyxo,live tracking"
0,block,adblock-x,AdBlock X,6267,04/11/2016 15:39,3,4.4.20,100,"detection,adblock,adblocker,anti-adblock,ad block killer"
0,block,wp-content-permission,WP Content Permission,2515,08/12/2016 06:47,3,4.7.15,100,"restricted content,private area,block content,memebers"
0,block,mediator,Mediator,1079,17/12/2016 18:32,4,4.7.15,30,"adsense,facebook,mailchimp,adblock,anti-adblock"
0,block,stop-web-crawlers,Stop Web Crawlers,3783,22/12/2016 17:56,4.5,4.7.15,700,"referer spam,block bots,block bot,block spammers,stop web crawlers"
0,block,pause-adblocker,Pause Adblocker,768,29/12/2016 06:08,4.3,4.7.15,50,"adblock,adblocker,adblock dedect,no adblock,Adblock modal"
0,block,block-permalink-rewriting,Block Permalink Rewriting,280,03/01/2017 18:44,3,4.7.15,0,"rewrite,permalinks"
0,block,fifthsegment-whitelist,Whitelist,1412,05/01/2017 12:06,3.9,4.7.15,10,"email,whitelist,password-protected,roadblock,email whitelist"
0,block,bitcoin-charts-widget,Bitcoin Charts Widget,4284,11/01/2017 10:47,3.5.0,4.7.0,100,"widget,bitcoin,charts,bitcoin-welt,blockchain.info"
0,block,block-wpscan,block-wpscan,2277,14/01/2017 08:16,4.0.0,4.7.15,40,"block,user,Tor,proxy,wpscan"
0,block,advertise-world,Advertise World,1802,24/01/2017 06:33,3.1,4.7.15,10,"ads,advertising,ad blocker,banner ads,banner advertising"
0,block,wp-block-analytics-spam,WordPress Block Analytics Spam,3162,25/01/2017 21:59,4,4.7.15,800,"google analytics,block bots,bot block,bot blocker,bot blocking"
0,block,custom-referral-spam-blocker,Custom Referral Spam Blocker,14465,09/02/2017 17:41,3.0.1,4.7.15,1000,"seo,spam,referrals,referral spam"
0,block,gravitate-blocks,Gravitate Blocks,1988,09/02/2017 18:43,3.5,4.7.15,100,"acf,advanced custom fields,Gravitate,Content Blocks"
0,block,botnet-blocker,Botnet Blocker,1235,10/02/2017 13:24,4.0.0,4.3.21,60,"comments,spam,dnsbl,blocking,spamhaus"
0,block,scale-lite-tools,Scale Lite Tools,277,19/02/2017 00:18,4.7,4.7.15,0,"Google Maps,html block"
0,block,country-content-controller,Country Content Controller,243,08/03/2017 09:05,4.5.0,4.7.15,0,"content,block,hide,country,mintslate"
0,block,eliminate-render-blocking-css,Eliminate Render Blocking CSS,1974,10/03/2017 13:37,4.6,4.7.15,80,"Critical CSS,Above the fold CSS,eliminate render-blocking css"
